장비,제품명,시작일,종료일,사용자명,파트너 담당자,휴대폰 번호,사용 여부,비고
2102LZ51B8JM,Rally plus,05월 30일,06월 16일,"CCK 대여, 옥지현 대리",박놀부,010-0000-7762,반납완료,6/16 반납 완료
2413FD2JLWN9,Rally Bar Mini,06월 09일,06월 23일,"CCK 대여, 이형우 대리",박놀부,　,반납완료,　
2134FDZEQH29,Rally Bar Mini,06월 11일,06월 25일,"비코프 대여, 이현철 대표",박놀부,010-0000-0529,반납완료,Crit Ventures 6/18 반납 완료
2146FDGM4JX9,Roommate,06월 13일,06월 27일,"마인드온 대여, 방두진 부장",박놀부,010-0000-7946,사용중,*8.11 아직 더 필요하다고함
2135FDAGDHT9,Rally Bar,06월 16일,07월 01일,MS Intelligent Speaker 데모 ,박놀부,　,사용중,민문성 이사 요청
2151WD018779,Tap Cat5e kit,06월 16일,07월 01일,MS Intelligent Speaker 데모 ,박놀부,　,사용가능,민문성 이사 요청
0WXBTFQI2404845F,Google Chromebox (CTL GQE20C),06월 18일,08월 31일,유엔터스 김경진 과장,박놀부,　,사용중,버킷플레이스 CTL 대체
0WXBTFQI24048323,Google Chromebox (CTL GQE20C),06월 18일,08월 31일,유엔터스 김경진 과장,박놀부,　,사용중,버킷플레이스 CTL 대체
2322FDMAB7AS,Rally Bar Huddle,06월 18일,08월 31일,유엔터스 김경진 과장,박놀부,　,사용중,버킷플레이스 CTL 대체
2324FDMAKLZ9,Rally Bar Huddle Graphite,06월 18일,08월 31일,유엔터스 김경진 과장,박놀부,　,사용중,버킷플레이스 CTL 대체
0WDCTFQI2210832B,Chromebox for Google,06월 18일,08월 31일,유엔터스 김경진 과장,박놀부,　,사용중,버킷플레이스 CTL 대체
2326FDMAP449,Rally Bar Huddle,06월 18일,08월 31일,유엔터스 김경진 과장,박놀부,　,사용중,버킷플레이스 CTL 대체
2240LZ525XQ9,Brio,06월 25일,07월 21일,에스코피티이엘티디 어재원 부장,박놀부,010-0000-1515,반납완료,한국다케다제약 7/21 반납 완료
1923LZ52HEG9,Rally System,06월 25일,07월 25일,"CCK 대여, 이형우 대리",박놀부,010-0000-0933,반납완료,"키스네일, 8/14 반납완료"
"2115LZ53HFC9 (속박스)
2115LZ511ELM (겉박스)",Rally Plus,06월 25일,07월 15일,"Lazard Korea
Corelan",박놀부,　,반납완료,　
2135FDJXFEH9,Tap IP,06월 25일,07월 15일,"Lazard Korea
Corelan",박놀부,　,반납 완료,
2134FDZEQH29,Rally Bar Mini,07월 08일,　,1,박놀부,　,사용 가능,　
2151WD018779,Tap Cat5e kit,07월 08일,　,Google 행사 사용,박놀부,　,사용 가능,　
2421FD6UCMA8,MeetUp 2,07월 10일,08월 07일,유앤케이 김창우 과장,박놀부,010-0000-7804,사용중,LG이노텍(구미4공장) PoC
"2115LZ53HFC9 (속박스)
2115LZ511ELM (겉박스)",Rally Plus,07월 15일,07월 29일,에스코피티이엘티디 어재원 부장,박놀부,010-0000-1515,반납완료,티리로보틱스 데모 중. 8/14 반납
2138FDAKQQD9,Rally Bar Graphite,07월 15일,07월 29일,에스코피티이엘티디 어재원 부장,박놀부,010-0000-1515,반납완료,티리로보틱스 데모. 7/31 반납 완료
OTTV01,TV Mount for Video Bars,07월 11일,08월 11일,Logitech 현미정 이사,박놀부,　,사용중,　
OTWALL01,Wall Mount For Video Bars,07월 11일,08월 11일,Logitech 현미정 이사,박놀부,　,사용중,　
2138FDAKQQD9,Rally Bar Graphite,08월 11일,08월 18일,"CCK 대여, 이형우 대리",박놀부,010-0000-0933,사용중,　
　,Group Extension Mic,08월 07일,08월 22일,UNK 김창우 차장,박놀부,　,사용중,　
2411FD1LG7M9,Rally bar,08월 13일,08월 20일,대한씨엔엠 양준모 전임,박놀부,010-0000-7624,반납완료,트웰브랩스 TEST 건으로 데모. 8/29 반납완료
2410LZ532FW9,Reach,08월 01일,09월 30일,Unters,박놀부,　,사용중,　
2429WD047A79,Active USB Cable,08월 01일,-,15층 Rally Board 65 데모,박놀부,　,사용중,　
　2135FDAGDHT9,　Rally Bar,08월 19일,09월 12일,Atec 최진선 팀장,임장군,　,사용중,Atec_PoC데모
　2022WD018A99,Strong Cable 25M,08월 19일,09월 12일,Atec 최진선 팀장,임장군,　,사용중,Atec_PoC데모
2415FG10CA09,Rally Bar,　,　,　,임장군,　,사용가능,　
2411FD1LG7M9,Rally bar,　,　,　,임장군,　,더블 전달,　
　2240LZ5261J9,Brio,09월 01일,-,가이드삼정 임성희 상무,임장군,　,사용중,LG이노텍 데모
2053LZ50U5S8,Connect,09월 03일,09월 30일,휴로테크 김태형 팀장,임장군,　,사용중,테스트 장비
2134FDZEQH29,Rally Bar Mini,09월 03일,09월 04일,15층 데모,임장군,　,반납완료,테스트 장비
2134FDZEQH29,Rally Bar Mini,09월 03일,09월 22일,제이앤지시스템 이상엽 차장,임장군,010-0000-8479,사용중,팩토리얼 성수 이슈 대응용 임시 교체
2413FD2JLWN9,Rally Bar Mini,09월 09일,10월 08일,Atec 최진선 팀장,임장군,,사용중,코리아서키트
2412FDJXAFZ9,TAP IP,09월 10일,09월 15일,CCK 이형우 대리,임장군,010-0000-0933,사용중,CCK 자체 테스트
2521ZBG0AG99,Rally plus,09월 10일,09월 12일,CCK 이형우 대리,임장군,010-0000-0934,사용중,코넥티브
